Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Mar 2021,MRT,4271197,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,all,57643,1.0
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,3+,7095,0.12
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,1,39173,0.68
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,2,11376,0.2
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,3,7095,0.12
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Tiris-Zemmour,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,all,57643,1.0
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,3+,12189,0.21
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,1,32442,0.56
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,2,13012,0.23
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,3,12189,0.21
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,4,0,0
Mar 2021,MRT,4271197,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,all,323087,1.0
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,3+,6462,0.02
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,1,261700,0.81
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,2,54925,0.17
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,3,6462,0.02
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Guidimakha,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,all,323087,1.0
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,3+,59503,0.18
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,1,186120,0.58
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,2,77464,0.24
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,3,51464,0.16
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,4,8039,0.02
Mar 2021,MRT,4271197,Guidimakha,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,all,331838,1.0
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,3+,14039,0.04
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,1,249870,0.75
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,2,67930,0.2
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,3,14039,0.04
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Brakna,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,all,331838,1.0
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,3+,69836,0.21
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,1,185617,0.56
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,2,76385,0.23
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,3,66978,0.2
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,4,2858,0.01
Mar 2021,MRT,4271197,Brakna,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,all,85294,1.0
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,3+,8385,0.1
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,1,56439,0.66
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,2,20471,0.24
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,3,8385,0.1
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Tagant,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,all,85294,1.0
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,3+,19159,0.22
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,1,43080,0.51
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,2,23055,0.27
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,3,19159,0.22
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,4,0,0
Mar 2021,MRT,4271197,Tagant,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,all,1280182,1.0
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,3+,76497,0.06
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,1,1044063,0.82
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,2,159621,0.12
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,3,76497,0.06
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Nouakchott,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,all,1280182,1.0
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,3+,78712,0.06
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,1,1009303,0.79
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,2,192167,0.15
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,3,78712,0.06
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,4,0,0
Mar 2021,MRT,4271197,Nouakchott,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,all,26129,1.0
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,3+,1568,0.06
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,1,20119,0.77
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,2,4442,0.17
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,3,1568,0.06
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,4,0,0
Mar 2021,MRT,4271197,Inchiri,current,2021-03-01,2021-05-31,5,0,0
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,all,26129,1.0
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,3+,2090,0.08
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,1,19335,0.74
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,2,4703,0.18
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,3,2090,0.08
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,4,0,0
Mar 2021,MRT,4271197,Inchiri,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,all,329555,1.0
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,3+,4091,0.01
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,1,288503,0.88
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,2,36961,0.11
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,3,4091,0.01
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Hodh El Gharbi,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,all,329555,1.0
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,3+,30401,0.09
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,1,185559,0.56
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,2,113595,0.34
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,3,29363,0.09
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,4,1039,0
Nov 2020,MRT,4179676,Hodh El Gharbi,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,all,25263,1.0
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,3+,1263,0.05
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,1,20716,0.82
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,2,3284,0.13
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,3,1263,0.05
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Inchiri,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,all,25263,1.0
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,3+,3537,0.14
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,1,16421,0.65
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,2,5305,0.21
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,3,2526,0.1
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,4,1011,0.04
Nov 2020,MRT,4179676,Inchiri,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,all,328957,1.0
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,3+,20195,0.06
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,1,257426,0.78
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,2,51335,0.16
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,3,20195,0.06
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Brakna,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,all,328957,1.0
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,3+,42670,0.13
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,1,215228,0.65
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,2,71059,0.22
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,3,41455,0.13
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,4,1215,0
Nov 2020,MRT,4179676,Brakna,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,all,525738,1.0
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,3+,21156,0.04
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,1,408646,0.78
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,2,95936,0.18
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,3,21156,0.04
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Hodh Ech Chargi,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,all,525738,1.0
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,3+,60556,0.11
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,1,312853,0.6
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,2,152329,0.29
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,3,54801,0.1
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,4,5755,0.01
Nov 2020,MRT,4179676,Hodh Ech Chargi,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,all,60984,1.0
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,3+,2214,0.04
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,1,50891,0.83
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,2,7879,0.13
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,3,2214,0.04
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Adrar,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,all,60984,1.0
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,3+,3957,0.06
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,1,47046,0.77
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,2,9982,0.16
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,3,3347,0.05
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,4,610,0.01
Nov 2020,MRT,4179676,Adrar,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,all,386693,1.0
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,3+,9904,0.03
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,1,325718,0.84
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,2,51071,0.13
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,3,9904,0.03
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Assaba,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,all,386693,1.0
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,3+,24629,0.06
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,1,270936,0.7
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,2,91128,0.24
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,3,23054,0.06
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,4,1574,0
Nov 2020,MRT,4179676,Assaba,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,all,57025,1.0
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,3+,2356,0.04
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,1,46383,0.81
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,2,8286,0.15
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,3,2356,0.04
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Tiris-Zemmour,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,all,57025,1.0
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,3+,4402,0.08
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,1,40723,0.71
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,2,11900,0.21
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,3,3882,0.07
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,4,520,0.01
Nov 2020,MRT,4179676,Tiris-Zemmour,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,all,306126,1.0
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,3+,2857,0.01
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,1,268747,0.88
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,2,33384,0.11
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,3,2857,0.01
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Trarza,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,all,306126,1.0
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,3+,8512,0.03
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,1,241717,0.79
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,2,55897,0.18
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,3,8512,0.03
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,4,0,0
Nov 2020,MRT,4179676,Trarza,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,all,375992,1.0
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,3+,44159,0.12
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,1,265857,0.71
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,2,65976,0.18
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,3,40897,0.11
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,4,3262,0.01
Nov 2020,MRT,4179676,Gorgol,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,all,375992,1.0
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,3+,64577,0.17
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,1,199518,0.53
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,2,111897,0.3
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,3,59679,0.16
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,4,4898,0.01
Nov 2020,MRT,4179676,Gorgol,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,all,80635,1.0
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,3+,12095,0.15
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,1,41930,0.52
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,2,26610,0.33
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,3,12095,0.15
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Tagant,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,all,80635,1.0
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,3+,17221,0.21
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,1,34386,0.43
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,2,29029,0.36
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,3,16856,0.21
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,4,365,0
Nov 2020,MRT,4179676,Tagant,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,all,149800,1.0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,3+,5992,0.04
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,1,125832,0.84
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,2,17976,0.12
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,3,5992,0.04
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,all,149800,1.0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,3+,10486,0.07
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,1,113848,0.76
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,2,25466,0.17
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,3,10486,0.07
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,4,0,0
Nov 2020,MRT,4179676,Dakhlet-Nouadhibou,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,all,1237217,1.0
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,3+,34217,0.03
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,1,1020013,0.82
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,2,182987,0.15
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,3,34217,0.03
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Nouakchott,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,all,1237217,1.0
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,3+,84920,0.07
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,1,884390,0.71
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,2,267907,0.22
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,3,84920,0.07
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,4,0,0
Nov 2020,MRT,4179676,Nouakchott,first projection,2021-06-01,2021-08-31,5,0,0
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,all,315694,1.0
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,3+,16593,0.05
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,1,258061,0.82
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,2,41040,0.13
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,3,16593,0.05
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,4,0,0
Nov 2020,MRT,4179676,Guidimakha,current,2020-10-01,2020-12-31,5,0,0
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,all,315694,1.0
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,3+,53668,0.17
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,1,171358,0.54
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,2,90668,0.29
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,3,50511,0.16
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,4,3157,0.01
Nov 2020,MRT,4179676,Guidimakha,first projection,2021-06-01,2021-08-31,5,0,0
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,all,4177412,1.0
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,3+,812365,0.19
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,1,2037812,0.49
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,2,1327235,0.32
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,3,756577,0.18
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,4,55788,0.01
Mar 2024,NER,26154898,Tillabéri,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,all,3153211,1.0
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,3+,332672,0.11
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,1,1987097,0.63
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,2,833442,0.26
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,3,332672,0.11
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,4,0,0
Mar 2024,NER,26154898,Dosso,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,all,5217267,1.0
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,3+,522051,0.1
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,1,3264131,0.63
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,2,1431085,0.27
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,3,497814,0.1
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,4,24236,0
Mar 2024,NER,26154898,Maradi,first projection,2024-06-01,2024-08-31,5,0,0
Mar 2024,NER,26154898,Agadez,first projection,2024-06-01,2024-08-31,all,710658,1.0
Mar 2024,NER,26154898,Agadez,first projection,2024-06-01,2024-08-31,3+,113980,0.16
Mar 2024,NER,26154898,Agadez,first projection,2024-06-01,2024-08-31,1,363003,0.51
