Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,all,75334,1.0
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,3+,24763,0.33
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,1,23633,0.31
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,2,26938,0.36
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,3,15313,0.2
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,4,9450,0.13
Aug 2019,AGO,31825000,Quilengues,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,all,70062,1.0
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,3+,47503,0.68
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,1,5681,0.08
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,2,16586,0.24
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,3,13439,0.19
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,4,34064,0.49
Aug 2019,AGO,31825000,Cahama,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,all,70062,1.0
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,3+,50955,0.73
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,1,6840,0.09
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,2,12267,0.18
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,3,16649,0.24
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,4,34306,0.49
Aug 2019,AGO,31825000,Cahama,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,all,186615,1.0
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,3+,78686,0.43
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,1,26027,0.14
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,2,81903,0.44
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,3,32690,0.18
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,4,45996,0.25
Aug 2019,AGO,31825000,Cuanhama,current,2019-07-01,2019-09-30,5,0,0
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,all,186615,1.0
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,3+,144960,0.77
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,1,11690,0.06
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,2,29966,0.16
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,3,64152,0.34
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,4,80807,0.43
Aug 2019,AGO,31825000,Cuanhama,first projection,2019-10-01,2020-02-29,5,0,0
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,all,79462,1.0
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,3+,46811,0.57
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,1,14339,0.18
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,2,18312,0.23
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,3,18701,0.24
Aug 2019,AGO,31825000,Gambos (ex-Chiange),current,2019-07-01,2019-09-30,4,28110,0.33
